# Combined matrix for the IFB0400 mutant (WT IFB0099)
# Each cell contains the difference on the AV  between the mutant and the wild-type
#  Compounds are sorted by diffAV,  pathways by genomic content (numer of distinct mutated reaction IDs)
 	path:map00626 Naphthalene degradation	path:map00310 Lysine degradation	path:map00380 Tryptophan metabolism	path:map00950 Isoquinoline alkaloid biosynthesis	path:map00405 Phenazine biosynthesis	path:map00791 Atrazine degradation	path:map00311 Penicillin and cephalosporin biosynthesis	path:map00660 C5-Branched dibasic acid metabolism	path:map01055 Biosynthesis of vancomycin group antibiotics	path:map01053 Biosynthesis of siderophore group nonribosomal peptides	path:map00642 Ethylbenzene degradation	path:map00521 Streptomycin biosynthesis	path:map00523 Polyketide sugar unit biosynthesis	path:map00525 Acarbose and validamycin biosynthesis	path:map00524 Neomycin, kanamycin and gentamicin biosynthesis	path:map00623 Toluene degradation	path:map00350 Tyrosine metabolism	path:map00908 Zeatin biosynthesis	path:map00440 Phosphonate and phosphinate metabolism	path:map00290 Valine, leucine and isoleucine biosynthesis	path:map00965 Betalain biosynthesis	path:map00332 Carbapenem biosynthesis	path:map00600 Sphingolipid metabolism	path:map00472 D-Arginine and D-ornithine metabolism	path:map00471 D-Glutamine and D-glutamate metabolism	path:map00627 Aminobenzoate degradation	path:map00625 Chloroalkane and chloroalkene degradation	path:map00780 Biotin metabolism	path:map00621 Dioxin degradation	path:map00401 Novobiocin biosynthesis	path:map00940 Phenylpropanoid biosynthesis	path:map00430 Taurine and hypotaurine metabolism	path:map00120 Primary bile acid biosynthesis	path:map00930 Caprolactam degradation	path:map04070 Phosphatidylinositol signaling system	path:map00730 Thiamine metabolism	path:map00562 Inositol phosphate metabolism	path:map00960 Tropane, piperidine and pyridine alkaloid biosynthesis	path:map00361 Chlorocyclohexane and chlorobenzene degradation	path:map00480 Glutathione metabolism	path:map01220 Degradation of aromatic compounds	path:map00920 Sulfur metabolism	path:map00650 Butanoate metabolism	path:map00550 Peptidoglycan biosynthesis	path:map00362 Benzoate degradation	path:map00500 Starch and sucrose metabolism	path:map00561 Glycerolipid metabolism	path:map00473 D-Alanine metabolism	path:map00770 Pantothenate and CoA biosynthesis	path:map00740 Riboflavin metabolism	path:map00360 Phenylalanine metabolism	path:map00564 Glycerophospholipid metabolism	path:map00966 Glucosinolate biosynthesis	path:map00280 Valine, leucine and isoleucine degradation	path:map00750 Vitamin B6 metabolism	path:map00261 Monobactam biosynthesis	path:map00250 Alanine, aspartate and glutamate metabolism	path:map00220 Arginine biosynthesis	path:map00450 Selenocompound metabolism	path:map00020 Citrate cycle (TCA cycle)	path:map00053 Ascorbate and aldarate metabolism	path:map00970 Aminoacyl-tRNA biosynthesis	path:map00860 Porphyrin and chlorophyll metabolism	path:map00460 Cyanoamino acid metabolism	path:map00710 Carbon fixation in photosynthetic organisms	path:map00720 Carbon fixation pathways in prokaryotes	path:map00630 Glyoxylate and dicarboxylate metabolism	path:map00640 Propanoate metabolism	path:map00910 Nitrogen metabolism	path:map00051 Fructose and mannose metabolism	path:map00040 Pentose and glucuronate interconversions	path:map00300 Lysine biosynthesis	path:map00330 Arginine and proline metabolism	path:map00760 Nicotinate and nicotinamide metabolism	path:map00410 beta-Alanine metabolism	path:map00130 Ubiquinone and other terpenoid-quinone biosynthesis	path:map00520 Amino sugar and nucleotide sugar metabolism	path:map00240 Pyrimidine metabolism	path:map00010 Glycolysis / Gluconeogenesis	path:map00680 Methane metabolism	path:map00061 Fatty acid biosynthesis	path:map00670 One carbon pool by folate	path:map00400 Phenylalanine, tyrosine and tryptophan biosynthesis	path:map00790 Folate biosynthesis	path:map00030 Pentose phosphate pathway	path:map00620 Pyruvate metabolism	path:map01210 2-Oxocarboxylic acid metabolism	path:map00270 Cysteine and methionine metabolism	path:map00052 Galactose metabolism	path:map00260 Glycine, serine and threonine metabolism	path:map00340 Histidine metabolism	path:map01200 Carbon metabolism	path:map00230 Purine metabolism	path:map01230 Biosynthesis of amino acids	path:map01130 Biosynthesis of antibiotics
nitrogen cpd:C00179 Agmatine; (4-Aminobutyl) guanidine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nitrogen cpd:C00123 L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	3.0	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	3.0	nan
nutrient_stimulation cpd:C00183 L-Valine; 2-Amino-3-methylbutyric acid	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	3.0	3.0	nan	nan	nan	nan	nan	nan	nan	3.0	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	3.0	3.0
carbon cpd:C06186 Arbutin; Ursin; Uvasol; Hydroquinone-O-beta-D-glucopyranoside	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nitrogen cpd:C00148 L-Proline; 2-Pyrrolidinecarboxylic acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	2.5
nitrogen cpd:C00183 L-Valine; 2-Amino-3-methylbutyric acid	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	2.5	2.5	nan	nan	nan	nan	nan	nan	nan	2.5	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	2.5	2.5
nitrogen cpd:C00483 Tyramine; 2-(p-Hydroxyphenyl)ethylamine	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nitrogen cpd:C00037 Glycine; Aminoacetic acid; Gly	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	2.0	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	2.0	2.0	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	2.0	2.0	2.0	2.0
nitrogen cpd:C01762 Xanthosine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan
nitrogen cpd:C00082 L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine	nan	nan	nan	2.0	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	2.0	2.0	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	2.0	nan	nan	2.0	nan	nan	nan	nan	nan	2.0	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	2.0	nan	nan	2.0	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	2.0	2.0
