name,description,samples,nbells,bellset
Harrogate St Wilfrid,"St Wilfrid, Harrogate",Harrogate_St_Wilfrid,8,12345678
Beckwithshaw,"St Michael, Beckwithshaw",Beckwithshaw,6,123456
Default,Default (Major 8),Harrogate_St_Wilfrid,8,12345678
Dorian,Minor 6 (Dorian Mode),Harrogate_St_Wilfrid,6,234567
Phrygian,Minor 6 (Phrygian Mode),Harrogate_St_Wilfrid,6,123456
Light 4,Front 4 of 8,Harrogate_St_Wilfrid,4,1234
Odd 4,Odd bells of 8,Harrogate_St_Wilfrid,4,1357
Even 4,Even bells of 8,Harrogate_St_Wilfrid,4,2468
Westminster,Westminster Chimes,Beckwithshaw,4,1236
