,iter,f_sol
0,1.0,631.0
1,2.0,631.0
2,3.0,623.0
3,4.0,623.0
4,5.0,604.0
5,6.0,604.0
6,7.0,604.0
7,8.0,604.0
8,9.0,604.0
9,10.0,562.0
10,11.0,464.0
11,12.0,464.0
12,13.0,464.0
13,14.0,464.0
14,15.0,464.0
15,16.0,366.0
16,17.0,361.0
17,18.0,313.0
18,19.0,312.0
19,20.0,312.0
20,21.0,312.0
21,22.0,312.0
22,23.0,270.0
23,24.0,230.0
24,25.0,230.0
25,26.0,181.0
26,27.0,181.0
27,28.0,181.0
28,29.0,181.0
29,30.0,181.0
30,31.0,181.0
31,32.0,181.0
32,33.0,181.0
33,34.0,181.0
34,35.0,181.0
35,36.0,181.0
36,37.0,181.0
37,38.0,181.0
38,39.0,181.0
39,40.0,181.0
40,41.0,181.0
41,42.0,181.0
42,43.0,181.0
43,44.0,181.0
44,45.0,181.0
45,46.0,181.0
46,47.0,181.0
47,48.0,181.0
48,49.0,181.0
49,50.0,134.0
50,51.0,134.0
51,52.0,134.0
52,53.0,134.0
53,54.0,130.0
54,55.0,130.0
55,56.0,81.0
56,57.0,81.0
57,58.0,81.0
58,59.0,81.0
59,60.0,81.0
60,61.0,81.0
61,62.0,81.0
62,63.0,81.0
63,64.0,81.0
64,65.0,81.0
65,66.0,81.0
66,67.0,81.0
67,68.0,81.0
68,69.0,81.0
69,70.0,81.0
70,71.0,81.0
71,72.0,51.0
72,73.0,51.0
73,74.0,51.0
74,75.0,51.0
75,76.0,51.0
76,77.0,51.0
77,78.0,51.0
78,79.0,51.0
79,80.0,51.0
80,81.0,51.0
81,82.0,51.0
82,83.0,51.0
83,84.0,51.0
84,85.0,51.0
85,86.0,51.0
86,87.0,51.0
87,88.0,51.0
88,89.0,51.0
89,90.0,51.0
90,91.0,51.0
91,92.0,51.0
92,93.0,51.0
93,94.0,51.0
94,95.0,51.0
95,96.0,51.0
96,97.0,51.0
97,98.0,51.0
98,99.0,51.0
99,100.0,51.0
100,101.0,51.0
101,102.0,51.0
102,103.0,51.0
103,104.0,51.0
104,105.0,51.0
105,106.0,51.0
106,107.0,51.0
107,108.0,51.0
108,109.0,51.0
109,110.0,51.0
110,111.0,51.0
111,112.0,51.0
112,113.0,51.0
113,114.0,51.0
114,115.0,51.0
115,116.0,51.0
116,117.0,51.0
117,118.0,51.0
118,119.0,51.0
119,120.0,51.0
120,121.0,51.0
121,122.0,51.0
122,123.0,51.0
123,124.0,51.0
124,125.0,51.0
125,126.0,51.0
126,127.0,51.0
127,128.0,51.0
128,129.0,51.0
129,130.0,51.0
130,131.0,51.0
131,132.0,51.0
132,133.0,51.0
133,134.0,51.0
134,135.0,51.0
135,136.0,51.0
136,137.0,51.0
137,138.0,51.0
138,139.0,51.0
139,140.0,51.0
140,141.0,51.0
141,142.0,51.0
142,143.0,51.0
143,144.0,51.0
144,145.0,51.0
145,146.0,51.0
146,147.0,51.0
147,148.0,51.0
148,149.0,51.0
149,150.0,51.0
150,151.0,51.0
151,152.0,51.0
152,153.0,51.0
153,154.0,51.0
154,155.0,51.0
155,156.0,51.0
156,157.0,51.0
157,158.0,51.0
158,159.0,51.0
159,160.0,51.0
160,161.0,51.0
161,162.0,51.0
162,163.0,51.0
163,164.0,51.0
164,165.0,51.0
165,166.0,51.0
166,167.0,51.0
167,168.0,51.0
168,169.0,51.0
169,170.0,51.0
170,171.0,51.0
171,172.0,51.0
