,iter,f_sol
0,1.0,561.0
1,2.0,561.0
2,3.0,561.0
3,4.0,555.0
4,5.0,555.0
5,6.0,506.0
6,7.0,506.0
7,8.0,506.0
8,9.0,457.0
9,10.0,457.0
10,11.0,457.0
11,12.0,457.0
12,13.0,457.0
13,14.0,457.0
14,15.0,457.0
15,16.0,457.0
16,17.0,457.0
17,18.0,457.0
18,19.0,457.0
19,20.0,457.0
20,21.0,457.0
21,22.0,457.0
22,23.0,457.0
23,24.0,457.0
24,25.0,387.0
25,26.0,332.0
26,27.0,332.0
27,28.0,289.0
28,29.0,289.0
29,30.0,289.0
30,31.0,289.0
31,32.0,289.0
32,33.0,289.0
33,34.0,289.0
34,35.0,289.0
35,36.0,289.0
36,37.0,289.0
37,38.0,289.0
38,39.0,289.0
39,40.0,289.0
40,41.0,289.0
41,42.0,289.0
42,43.0,289.0
43,44.0,289.0
44,45.0,289.0
45,46.0,191.0
46,47.0,191.0
47,48.0,149.0
48,49.0,149.0
49,50.0,149.0
50,51.0,149.0
51,52.0,149.0
52,53.0,149.0
53,54.0,149.0
54,55.0,149.0
55,56.0,149.0
56,57.0,149.0
57,58.0,149.0
58,59.0,149.0
59,60.0,149.0
60,61.0,149.0
61,62.0,149.0
62,63.0,149.0
63,64.0,149.0
64,65.0,149.0
65,66.0,149.0
66,67.0,149.0
67,68.0,149.0
68,69.0,149.0
69,70.0,149.0
70,71.0,149.0
71,72.0,149.0
72,73.0,149.0
73,74.0,149.0
74,75.0,144.0
75,76.0,144.0
76,77.0,144.0
77,78.0,144.0
78,79.0,144.0
79,80.0,135.0
80,81.0,135.0
81,82.0,135.0
82,83.0,135.0
83,84.0,135.0
84,85.0,135.0
85,86.0,135.0
86,87.0,135.0
87,88.0,135.0
88,89.0,135.0
89,90.0,135.0
90,91.0,135.0
91,92.0,135.0
92,93.0,135.0
93,94.0,135.0
94,95.0,135.0
95,96.0,135.0
96,97.0,135.0
97,98.0,135.0
98,99.0,135.0
99,100.0,135.0
100,101.0,135.0
101,102.0,135.0
102,103.0,135.0
103,104.0,135.0
104,105.0,135.0
105,106.0,135.0
106,107.0,135.0
107,108.0,135.0
108,109.0,135.0
109,110.0,135.0
110,111.0,135.0
111,112.0,135.0
112,113.0,135.0
113,114.0,135.0
114,115.0,90.0
115,116.0,90.0
116,117.0,90.0
117,118.0,90.0
118,119.0,90.0
119,120.0,90.0
120,121.0,90.0
121,122.0,90.0
122,123.0,90.0
123,124.0,90.0
124,125.0,90.0
125,126.0,90.0
126,127.0,90.0
127,128.0,90.0
128,129.0,90.0
129,130.0,90.0
130,131.0,90.0
131,132.0,90.0
132,133.0,90.0
133,134.0,90.0
134,135.0,90.0
135,136.0,90.0
136,137.0,90.0
137,138.0,90.0
138,139.0,90.0
139,140.0,90.0
140,141.0,90.0
141,142.0,90.0
142,143.0,90.0
143,144.0,90.0
144,145.0,90.0
145,146.0,90.0
146,147.0,90.0
147,148.0,90.0
148,149.0,90.0
149,150.0,90.0
150,151.0,90.0
151,152.0,90.0
152,153.0,90.0
153,154.0,90.0
154,155.0,90.0
155,156.0,88.0
156,157.0,88.0
157,158.0,88.0
158,159.0,88.0
159,160.0,88.0
160,161.0,88.0
161,162.0,88.0
162,163.0,88.0
163,164.0,88.0
164,165.0,88.0
165,166.0,88.0
166,167.0,88.0
167,168.0,88.0
168,169.0,88.0
169,170.0,88.0
170,171.0,88.0
171,172.0,88.0
172,173.0,88.0
173,174.0,88.0
174,175.0,88.0
175,176.0,88.0
176,177.0,88.0
177,178.0,88.0
178,179.0,88.0
179,180.0,88.0
180,181.0,88.0
181,182.0,88.0
182,183.0,88.0
183,184.0,88.0
184,185.0,88.0
185,186.0,88.0
186,187.0,47.0
187,188.0,47.0
188,189.0,47.0
189,190.0,47.0
190,191.0,47.0
191,192.0,47.0
192,193.0,47.0
193,194.0,47.0
194,195.0,47.0
195,196.0,47.0
196,197.0,47.0
197,198.0,47.0
198,199.0,47.0
199,200.0,47.0
200,201.0,47.0
201,202.0,47.0
202,203.0,47.0
203,204.0,47.0
204,205.0,47.0
205,206.0,47.0
206,207.0,47.0
207,208.0,47.0
208,209.0,47.0
209,210.0,47.0
210,211.0,47.0
211,212.0,47.0
212,213.0,47.0
213,214.0,47.0
214,215.0,47.0
215,216.0,47.0
216,217.0,47.0
217,218.0,47.0
218,219.0,47.0
219,220.0,47.0
220,221.0,47.0
221,222.0,47.0
222,223.0,47.0
223,224.0,47.0
224,225.0,47.0
225,226.0,47.0
226,227.0,47.0
227,228.0,47.0
228,229.0,47.0
229,230.0,47.0
230,231.0,41.0
231,232.0,41.0
232,233.0,41.0
233,234.0,41.0
234,235.0,41.0
235,236.0,41.0
236,237.0,41.0
237,238.0,41.0
238,239.0,37.0
239,240.0,37.0
240,241.0,37.0
241,242.0,37.0
242,243.0,37.0
243,244.0,37.0
244,245.0,37.0
245,246.0,37.0
246,247.0,37.0
247,248.0,37.0
248,249.0,37.0
249,250.0,37.0
250,251.0,37.0
251,252.0,37.0
252,253.0,37.0
253,254.0,37.0
254,255.0,37.0
255,256.0,37.0
256,257.0,37.0
257,258.0,37.0
258,259.0,37.0
259,260.0,37.0
260,261.0,37.0
261,262.0,37.0
262,263.0,37.0
263,264.0,37.0
264,265.0,37.0
265,266.0,37.0
266,267.0,37.0
267,268.0,37.0
268,269.0,33.0
269,270.0,33.0
270,271.0,33.0
271,272.0,33.0
272,273.0,33.0
273,274.0,33.0
274,275.0,33.0
275,276.0,33.0
276,277.0,33.0
277,278.0,33.0
278,279.0,33.0
279,280.0,33.0
280,281.0,33.0
281,282.0,33.0
282,283.0,33.0
283,284.0,33.0
284,285.0,33.0
285,286.0,33.0
286,287.0,33.0
287,288.0,33.0
288,289.0,33.0
289,290.0,33.0
290,291.0,33.0
291,292.0,33.0
292,293.0,33.0
293,294.0,33.0
294,295.0,33.0
295,296.0,33.0
296,297.0,33.0
297,298.0,33.0
298,299.0,33.0
299,300.0,33.0
300,301.0,33.0
301,302.0,33.0
302,303.0,33.0
303,304.0,33.0
304,305.0,33.0
305,306.0,33.0
306,307.0,33.0
307,308.0,33.0
308,309.0,33.0
309,310.0,33.0
310,311.0,33.0
311,312.0,33.0
312,313.0,33.0
313,314.0,33.0
314,315.0,33.0
315,316.0,33.0
316,317.0,33.0
317,318.0,33.0
318,319.0,33.0
319,320.0,33.0
320,321.0,33.0
321,322.0,33.0
322,323.0,33.0
323,324.0,33.0
324,325.0,33.0
325,326.0,33.0
326,327.0,33.0
327,328.0,33.0
328,329.0,33.0
329,330.0,33.0
330,331.0,33.0
331,332.0,33.0
332,333.0,33.0
333,334.0,33.0
334,335.0,33.0
335,336.0,33.0
336,337.0,33.0
337,338.0,33.0
338,339.0,33.0
339,340.0,33.0
340,341.0,33.0
341,342.0,33.0
342,343.0,33.0
343,344.0,33.0
344,345.0,33.0
345,346.0,33.0
346,347.0,33.0
347,348.0,33.0
348,349.0,33.0
349,350.0,33.0
350,351.0,33.0
351,352.0,33.0
352,353.0,33.0
353,354.0,33.0
354,355.0,33.0
355,356.0,33.0
356,357.0,33.0
357,358.0,33.0
358,359.0,33.0
359,360.0,33.0
360,361.0,33.0
361,362.0,33.0
362,363.0,33.0
363,364.0,33.0
364,365.0,33.0
365,366.0,33.0
366,367.0,33.0
367,368.0,33.0
368,369.0,33.0
