Active wells (% of wells with activity >= 2)
Category	L_gasseriUMB0045
carbon	N/A
nitrogen	N/A
phosphate_and_sulphur	N/A
nutrient_stimulation	N/A
nitrogen_peptides	N/A
osmolytes_and_ph	69.7916666667
chemicals	N/A
