"no-response-needed","no response needed"
"resolved","resolved"
"technical-correction","potential technical correction"
"revised-estimate","revised estimate"
"partly-resolved","partly resolved"
"no-conclusion-yet","no conclusion yet"
"unresolved","unresolved"
